DB;TITLES_INDEXED;COVERAGE_PCT
SCHOLA;47;41.964285714285715
IEEE_X;27;24.107142857142858
SCOPUS;20;17.857142857142858
SPRING;7;6.25
SC_DIR;6;5.357142857142857
TAYFRA;4;3.5714285714285716
WILEYL;1;0.8928571428571429
