STEP;DB;NEW_TITLES_COVERED;CUMULATIVE_COVERED;CUMULATIVE_PCT
1;SCHOLA;45;45;32.37410071942446
2;IEEE_X;29;74;53.23741007194245
3;SCOPUS;18;92;66.18705035971223
4;SEMAN5;17;109;78.41726618705036
5;SEMAN6;6;115;82.73381294964028
6;SC_DIR;6;121;87.05035971223022
7;SPRING;5;126;90.64748201438849
8;TAYFRA;4;130;93.5251798561151
9;SEMAN1;3;133;95.68345323741008
10;SEMAN7;2;135;97.12230215827338
11;WILEYL;1;136;97.84172661870504
