DB;MATCHED_TITLES;COVERAGE_PCT
SCHOLA;47;41.964285714285715
IEEE_X;29;25.892857142857142
SCOPUS;21;18.75
SC_DIR;7;6.25
SPRING;7;6.25
TAYFRA;4;3.5714285714285716
WILEYL;1;0.8928571428571429
ACM_DL;0;0.0
