STEP;DB;NEW_TITLES_COVERED;CUMULATIVE_COVERED;CUMULATIVE_PCT
1;SCHOLA;47;47;41.964285714285715
2;IEEE_X;29;76;67.85714285714286
3;SCOPUS;19;95;84.82142857142857
4;SC_DIR;6;101;90.17857142857143
5;SPRING;6;107;95.53571428571429
6;TAYFRA;4;111;99.10714285714286
7;WILEYL;1;112;100.0
