DB;MATCHED_TITLES;COVERAGE_PCT
SCHOLA;45;32.37410071942446
IEEE_X;29;20.863309352517987
SCOPUS;20;14.388489208633093
SEMAN5;20;14.388489208633093
SEMAN6;16;11.510791366906474
SEMAN7;11;7.913669064748201
SEMAN2;8;5.755395683453237
SC_DIR;7;5.0359712230215825
SPRING;7;5.0359712230215825
SEMAN8;4;2.8776978417266186
TAYFRA;4;2.8776978417266186
SEMAN1;3;2.158273381294964
SEMAN3;3;2.158273381294964
SEMAN4;3;2.158273381294964
WILEYL;1;0.7194244604316546
ACM_DL;0;0.0
