YEAR;TARGET_TITLES;FOUND_IN_ANY_DB;MISSING_IN_ANY_DB
1997.0;1;1;0
2009.0;1;1;0
2010.0;1;1;0
2011.0;5;5;0
2012.0;3;3;0
2013.0;2;2;0
2014.0;2;2;0
2015.0;6;5;1
2016.0;4;4;0
2017.0;1;1;0
2018.0;1;1;0
2019.0;6;6;0
2020.0;7;7;0
2021.0;13;13;0
2022.0;11;11;0
2023.0;11;11;0
2024.0;18;18;0
2025.0;21;20;1
2026.0;22;21;1
;3;3;0
